uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-PREPROCESS-ROOT,IMPLEMENTATION_PENDING,,,,The complete requirement is not currently implemented because final routing-aware query reconstruction and/or required schema-to-runtime field mapping remains incomplete at the downstream handoff boundary.
GHOST-PREPROCESS-PRODUCT-NAME,SYSTEM_WIDE,,,,"This UID spans multiple independent implementation areas rather than one owner: ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/preprocessing/activebrief_relation_classifier.py, ragstream/agents/a2_promptshaper.py, ragstream/orchestration/superprompt_projector.py, ragstream/orchestration/super_prompt.py, and Agent Stack JSON loading via ragstream/orchestration/agent_factory.py; no single Python file owns the complete prompt-preparation scope."
GHOST-PREPROCESS-THREE-PART-MODEL,SYSTEM_WIDE,,,,"This UID spans multiple independent implementation areas rather than one owner: ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/preprocessing/activebrief_relation_classifier.py, ragstream/agents/a2_promptshaper.py, ragstream/orchestration/superprompt_projector.py, ragstream/orchestration/super_prompt.py, and Agent Stack JSON loading via ragstream/orchestration/agent_factory.py; no single Python file owns the complete prompt-preparation scope."
GHOST-PREPROCESS-CURRENT-SCOPE,IMPLEMENTATION_PENDING,,,,The complete requirement is not currently implemented because final routing-aware query reconstruction and/or required schema-to-runtime field mapping remains incomplete at the downstream handoff boundary.
GHOST-PREPROCESS-END-TO-END-FLOW,IMPLEMENTATION_PENDING,,,,The complete requirement is not currently implemented because final routing-aware query reconstruction and/or required schema-to-runtime field mapping remains incomplete at the downstream handoff boundary.
GHOST-PREPROCESS-DETERMINISTIC-BOUNDARY,SYSTEM_WIDE,,,,"This UID spans multiple independent implementation areas rather than one owner: ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/preprocessing/activebrief_relation_classifier.py, ragstream/agents/a2_promptshaper.py, ragstream/orchestration/superprompt_projector.py, ragstream/orchestration/super_prompt.py, and Agent Stack JSON loading via ragstream/orchestration/agent_factory.py; no single Python file owns the complete prompt-preparation scope."
GHOST-PREPROCESS-CLASSIFIER-BOUNDARY,TRACED,activebrief_relation_classifier.py,ragstream/preprocessing/activebrief_relation_classifier.py,PYTHON,"activebrief_relation_classifier.py owns this relation-classification and routing scope through ActiveBriefRelationClassifier.run(), classify(), _write_result_to_superprompt(), _build_decision(), _build_relation_state(), _find_current_activebrief(), and _build_current_prompt_text(), with data/agents/activebrief_relation_classifier/activebrief_relation_classifier_001.json JSONPaths $.llm_config, $.static_prompt, $.dynamic_bindings, $.decision_targets, and $.output_schema loaded by AgentFactory as supporting configuration."
GHOST-PREPROCESS-A2-BOUNDARY,TRACED,a2_promptshaper.py,ragstream/agents/a2_promptshaper.py,PYTHON,"a2_promptshaper.py owns this A2 PromptShaper scope through A2PromptShaper.run(), _build_default_selector_result(), _sanitize_selector_result(), _build_prompt_under_evaluation(), _build_result_key_map(), and _build_required_output_text(), with data/agents/a2_promptshaper/003.json JSONPaths $.llm_config, $.static_prompt, $.dynamic_bindings, $.decision_targets, $.output_schema and catalog refs to a2_catalogs/*.json loaded by AgentFactory as supporting configuration."
GHOST-PREPROCESS-AGENT-STACK-REFERENCE,SYSTEM_WIDE,,,,"This UID spans multiple independent implementation areas rather than one owner: ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/preprocessing/activebrief_relation_classifier.py, ragstream/agents/a2_promptshaper.py, ragstream/orchestration/superprompt_projector.py, ragstream/orchestration/super_prompt.py, and Agent Stack JSON loading via ragstream/orchestration/agent_factory.py; no single Python file owns the complete prompt-preparation scope."
GHOST-PREPROCESS-SUPERPROMPT-BOUNDARY,TRACED,super_prompt.py,ragstream/orchestration/super_prompt.py,PYTHON,"super_prompt.py owns this state-contract scope through SuperPrompt.__slots__, SuperPrompt.__init__(), body, extras, lifecycle fields, effective_retrieval_query_text, retrieval artifact fields, and compose_prompt_ready() wrapper; preprocessing/classification logic remains subordinate writers into this central state."
GHOST-PREPROCESS-ORCHESTRATION-BOUNDARY,TRACED,controller.py,ragstream/app/controller.py,PYTHON,"controller.py owns controller coordination boundaries through AppController.__init__(), preprocess(), and run_a2_promptshaper(), constructing shared components and sequencing calls while keeping schema rules, classifier semantics, selector sanitization, and retrieval algorithms in their dedicated modules."
GHOST-PREPROCESS-KNOWLEDGE-BOUNDARY,IMPLEMENTATION_PENDING,,,,The complete requirement is not currently implemented because final routing-aware query reconstruction and/or required schema-to-runtime field mapping remains incomplete at the downstream handoff boundary.
GHOST-PREPROCESS-MEMORY-BOUNDARY,SYSTEM_WIDE,,,,"This UID spans multiple independent implementation areas rather than one owner: ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/preprocessing/activebrief_relation_classifier.py, ragstream/agents/a2_promptshaper.py, ragstream/orchestration/superprompt_projector.py, ragstream/orchestration/super_prompt.py, and Agent Stack JSON loading via ragstream/orchestration/agent_factory.py; no single Python file owns the complete prompt-preparation scope."
GHOST-PREPROCESS-SCHEMA-LOAD,TRACED,controller.py,ragstream/app/controller.py,PYTHON,"controller.py owns schema-loading coordination through AppController.__init__(), which constructs exactly one PromptSchema from the configured ragstream/config/prompt_schema.json path before AppController.preprocess() can parse a prompt."
GHOST-PREPROCESS-SCHEMA-JSON,TRACED,prompt_schema.py,ragstream/preprocessing/prompt_schema.py,PYTHON,"prompt_schema.py owns this schema contract through PromptSchema.__init__(), _load(), normalize_key(), default_for(), and must, loading ragstream/config/prompt_schema.json JSONPaths $.version, $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual before deterministic users consume them."
GHOST-PREPROCESS-SCHEMA-NORMALIZATION,TRACED,prompt_schema.py,ragstream/preprocessing/prompt_schema.py,PYTHON,"prompt_schema.py owns deterministic header-key normalization through PromptSchema.normalize_key(), including string validation, Unicode NFKC normalization, lowercase conversion, whitespace trimming and collapse, and punctuation removal."
GHOST-PREPROCESS-RUNTIME-BODY-FIELDS,TRACED,super_prompt.py,ragstream/orchestration/super_prompt.py,PYTHON,"super_prompt.py owns this state-contract scope through SuperPrompt.__slots__, SuperPrompt.__init__(), body, extras, lifecycle fields, effective_retrieval_query_text, retrieval artifact fields, and compose_prompt_ready() wrapper; preprocessing/classification logic remains subordinate writers into this central state."
GHOST-PREPROCESS-SCHEMA-RUNTIME-MAPPING,IMPLEMENTATION_PENDING,,,,The complete requirement is not currently implemented because final routing-aware query reconstruction and/or required schema-to-runtime field mapping remains incomplete at the downstream handoff boundary.
GHOST-PREPROCESS-MUST-DESTINATION,IMPLEMENTATION_PENDING,,,,The complete requirement is not currently implemented because final routing-aware query reconstruction and/or required schema-to-runtime field mapping remains incomplete at the downstream handoff boundary.
GHOST-PREPROCESS-CANONICAL-MATCH,TRACED,name_matcher.py,ragstream/preprocessing/name_matcher.py,PYTHON,"name_matcher.py owns this header-resolution scope through NameMatcher.resolve(), with PromptSchema.normalize_key(), is_canonical(), aliases, and bilingual maps as subordinate schema accessors; it implements canonical, alias, bilingual, then unknown ordering without fuzzy or semantic matching."
GHOST-PREPROCESS-ALIAS-MATCH,TRACED,name_matcher.py,ragstream/preprocessing/name_matcher.py,PYTHON,"name_matcher.py owns this header-resolution scope through NameMatcher.resolve(), with PromptSchema.normalize_key(), is_canonical(), aliases, and bilingual maps as subordinate schema accessors; it implements canonical, alias, bilingual, then unknown ordering without fuzzy or semantic matching."
GHOST-PREPROCESS-BILINGUAL-MATCH,TRACED,name_matcher.py,ragstream/preprocessing/name_matcher.py,PYTHON,"name_matcher.py owns this header-resolution scope through NameMatcher.resolve(), with PromptSchema.normalize_key(), is_canonical(), aliases, and bilingual maps as subordinate schema accessors; it implements canonical, alias, bilingual, then unknown ordering without fuzzy or semantic matching."
GHOST-PREPROCESS-MATCH-ORDER,TRACED,name_matcher.py,ragstream/preprocessing/name_matcher.py,PYTHON,"name_matcher.py owns this header-resolution scope through NameMatcher.resolve(), with PromptSchema.normalize_key(), is_canonical(), aliases, and bilingual maps as subordinate schema accessors; it implements canonical, alias, bilingual, then unknown ordering without fuzzy or semantic matching."
GHOST-PREPROCESS-NO-FUZZY-MATCHING,TRACED,name_matcher.py,ragstream/preprocessing/name_matcher.py,PYTHON,"name_matcher.py owns this header-resolution scope through NameMatcher.resolve(), with PromptSchema.normalize_key(), is_canonical(), aliases, and bilingual maps as subordinate schema accessors; it implements canonical, alias, bilingual, then unknown ordering without fuzzy or semantic matching."
GHOST-PREPROCESS-SCHEMA-VERSION,TRACED,prompt_schema.py,ragstream/preprocessing/prompt_schema.py,PYTHON,"prompt_schema.py owns this schema contract through PromptSchema.__init__(), _load(), normalize_key(), default_for(), and must, loading ragstream/config/prompt_schema.json JSONPaths $.version, $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual before deterministic users consume them."
GHOST-PREPROCESS-NONEMPTY-INPUT,TRACED,controller.py,ragstream/app/controller.py,PYTHON,"controller.py owns the whitespace boundary through AppController.preprocess(), which trims user_text and returns the supplied SuperPrompt immediately when the trimmed text is empty, before invoking any downstream prompt-preparation step."
GHOST-PREPROCESS-HEADER-LEVELS,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-HEADER-SYNTAX,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-SECTION-BOUNDARY,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-PLAIN-TEXT-MODE,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-HEADER-RESOLUTION,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-LAST-WINS,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-UNKNOWN-HEADERS,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-RECOGNIZED-WRITEBACK,IMPLEMENTATION_PENDING,,,,Recognized schema keys are not consistently delivered to active runtime fields: response_depth and output_format remain schema-facing names and are discarded by preprocessing.py's runtime write-back whitelist instead of reaching depth and format.
GHOST-PREPROCESS-TASK-CONTEXT-FALLBACK,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-TASK-RAW-FALLBACK,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-MANDATORY-DEFAULTS,IMPLEMENTATION_PENDING,,,,"Mandatory defaults are applied to the transient mapped dictionary, but active mandatory fields such as constraints and output_format lack usable runtime destinations and can be discarded before SuperPrompt write-back."
GHOST-PREPROCESS-BODY-TEXT-PRESERVATION,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-IN-PLACE-UPDATE,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-BODY-WRITEBACK,IMPLEMENTATION_PENDING,,,,Body write-back is incomplete because the required schema-to-runtime mapping is absent; recognized response_depth/output_format values and unsupported mandatory defaults are not consistently written into their required SuperPrompt destinations.
GHOST-PREPROCESS-NO-NEW-BODY-FIELDS,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-PRESERVE-UNTOUCHED-FIELDS,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-INITIAL-QUERY-PROJECTION,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-STAGE-MARK,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-HISTORY-MARK,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-NO-RETRIEVAL-MUTATION,SYSTEM_WIDE,,,,"This UID spans multiple independent implementation areas rather than one owner: ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/preprocessing/activebrief_relation_classifier.py, ragstream/agents/a2_promptshaper.py, ragstream/orchestration/superprompt_projector.py, ragstream/orchestration/super_prompt.py, and Agent Stack JSON loading via ragstream/orchestration/agent_factory.py; no single Python file owns the complete prompt-preparation scope."
GHOST-PREPROCESS-LOCAL-PREVIEW,TRACED,preprocessing.py,ragstream/preprocessing/preprocessing.py,PYTHON,"preprocessing.py owns this deterministic preprocessing scope through preprocess(), _parse_markdown_sections(), _update_effective_retrieval_query_text(), and _compose_prompt_ready(), using PromptSchema/NameMatcher and JSON ragstream/config/prompt_schema.json paths $.canonical_keys, $.must_keys, $.defaults, $.aliases, and $.bilingual only as subordinate inputs."
GHOST-PREPROCESS-CENTRAL-PROJECTION,TRACED,controller.py,ragstream/app/controller.py,PYTHON,"controller.py owns this completion-time projection coordination through AppController.preprocess(), which invokes sp.compose_prompt_ready() after relation metadata is written so the central SuperPrompt projection refreshes the prepared preview."
GHOST-PREPROCESS-ACTIVEBRIEF-OPTIONAL,TRACED,activebrief_relation_classifier.py,ragstream/preprocessing/activebrief_relation_classifier.py,PYTHON,"activebrief_relation_classifier.py owns this relation-classification and routing scope through ActiveBriefRelationClassifier.run(), classify(), _write_result_to_superprompt(), _build_decision(), _build_relation_state(), _find_current_activebrief(), and _build_current_prompt_text(), with data/agents/activebrief_relation_classifier/activebrief_relation_classifier_001.json JSONPaths $.llm_config, $.static_prompt, $.dynamic_bindings, $.decision_targets, and $.output_schema loaded by AgentFactory as supporting configuration."
GHOST-PREPROCESS-ACTIVEBRIEF-ELIGIBILITY,TRACED,activebrief_relation_classifier.py,ragstream/preprocessing/activebrief_relation_classifier.py,PYTHON,"activebrief_relation_classifier.py owns this relation-classification and routing scope through ActiveBriefRelationClassifier.run(), classify(), _write_result_to_superprompt(), _build_decision(), _build_relation_state(), _find_current_activebrief(), and _build_current_prompt_text(), with data/agents/activebrief_relation_classifier/activebrief_relation_classifier_001.json JSONPaths $.llm_config, $.static_prompt, $.dynamic_bindings, $.decision_targets, and $.output_schema loaded by AgentFactory as supporting configuration."
GHOST-PREPROCESS-ACTIVEBRIEF-SNAPSHOT,TRACED,activebrief_relation_classifier.py,ragstream/preprocessing/activebrief_relation_classifier.py,PYTHON,"activebrief_relation_classifier.py owns this relation-classification and routing scope through ActiveBriefRelationClassifier.run(), classify(), _write_result_to_superprompt(), _build_decision(), _build_relation_state(), _find_current_activebrief(), and _build_current_prompt_text(), with data/agents/activebrief_relation_classifier/activebrief_relation_classifier_001.json JSONPaths $.llm_config, $.static_prompt, $.dynamic_bindings, $.decision_targets, and $.output_schema loaded by AgentFactory as supporting configuration."
GHOST-PREPROCESS-NO-ACTIVEBRIEF-BYPASS,TRACED,activebrief_relation_classifier.py,ragstream/preprocessing/activebrief_relation_classifier.py,PYTHON,"activebrief_relation_classifier.py owns this relation-classification and routing scope through ActiveBriefRelationClassifier.run(), classify(), _write_result_to_superprompt(), _build_decision(), _build_relation_state(), _find_current_activebrief(), and _build_current_prompt_text(), with data/agents/activebrief_relation_classifier/activebrief_relation_classifier_001.json JSONPaths $.llm_config, $.static_prompt, $.dynamic_bindings, $.decision_targets, and $.output_schema loaded by AgentFactory as supporting configuration."
GHOST-PREPROCESS-CLASSIFIER-CURRENT-PROMPT,TRACED,activebrief_relation_classifier.py,ragstream/preprocessing/activebrief_relation_classifier.py,PYTHON,"activebrief_relation_classifier.py owns this relation-classification and routing scope through ActiveBriefRelationClassifier.run(), classify(), _write_result_to_superprompt(), _build_decision(), _build_relation_state(), _find_current_activebrief(), and _build_current_prompt_text(), with data/agents/activebrief_relation_classifier/activebrief_relation_classifier_001.json JSONPaths $.llm_config, $.static_prompt, $.dynamic_bindings, $.decision_targets, and $.output_schema loaded by AgentFactory as supporting configuration."
